Question,Answer
What standard is referenced for the bend test of wires in IS 280?,The bend test of wires in IS 280 is referenced to IS:1755-1961.
How many coils are required to be taken from a lot for testing physical requirements in IS 280 if the lot contains 26 to 50 coils?,"If the lot contains 26 to 50 coils, three coils are required to be taken from the lot for testing physical requirements in IS 280."
What is the minimum tensile strength for soft drawn wires with finishes other than galvanized in IS 280?,The minimum tensile strength for soft drawn wires with finishes other than galvanized in IS 280 is 500 MPa.
What is the purpose of Amendment No. 3 to IS 280?,The purpose of Amendment No. 3 to IS 280 is to introduce an alternate method for conducting tests specified in the standard by following relevant ISO standards.
What is the maximum permissible difference between two readings taken on any two diameters on the cross-section of galvanized wires in IS 280?,The maximum permissible difference between two readings taken on any two diameters on the cross-section of galvanized wires in IS 280 is 2.5 percent with a minimum of 0.025 mm.
How many times should a wire smaller than 5 mm diameter be wrapped round its own diameter without breaking or splitting in the wrapping test of IS 280?,A wire smaller than 5 mm diameter should be wrapped eight times round its own diameter without breaking or splitting in the wrapping test of IS 280.
What is the maximum permissible difference between two readings taken on any two diameters on the cross-section of wires in IS 280?,The maximum permissible difference between two readings taken on any two diameters on the cross-section of wires in IS 280 is 0.06 mm.
What is the purpose of the coating test in IS 280?,"The purpose of the coating test in IS 280 is to ensure that the galvanized coating of steel wire conforms to the specified requirements, as per the agreed type of coating between the contracting parties."
What does the use of the Standard Mark in IS 280 signify?,"The use of the Standard Mark in IS 280 signifies that the product may also be marked with Standard Mark, subject to the provisions of the Bureau of Indian Standards Act, 1986, and the Rules and Regulations made thereunder."
What method is used for drawing representative samples of the material in IS 280?,The method used for drawing representative samples of the material in IS 280 involves selecting coils from each lot according to the scale provided in Table 3 and testing them for conformity to the standard.
How many coils are required to be taken from a lot for testing physical requirements in IS 280 if the lot contains 26 to 50 coils?,"If the lot contains 26 to 50 coils, three coils are required to be taken from the lot for testing physical requirements in IS 280."
What is the minimum tensile strength for soft drawn wires with finishes other than galvanized in IS 280?,The minimum tensile strength for soft drawn wires with finishes other than galvanized in IS 280 is 500 MPa.
What is the purpose of Amendment No. 3 to IS 280?,The purpose of Amendment No. 3 to IS 280 is to introduce an alternate method for conducting tests specified in the standard by following relevant ISO standards.
What is the maximum permissible difference between two readings taken on any two diameters on the cross-section of galvanized wires in IS 280?,The maximum permissible difference between two readings taken on any two diameters on the cross-section of galvanized wires in IS 280 is 2.5 percent with a minimum of 0.025 mm.
How many times should a wire smaller than 5 mm diameter be wrapped round its own diameter without breaking or splitting in the wrapping test of IS 280?,A wire smaller than 5 mm diameter should be wrapped eight times round its own diameter without breaking or splitting in the wrapping test of IS 280.
