Question,Answer
1. What is the purpose of the Franklin Tester?,"It is used for testing the surface insulation resistivity of single strips or punchings of flat rolled electrical steel under predetermined conditions of voltage, pressure, and temperature."
2. What is the recommended minimum size for a specimen strip in the surface insulation resistivity test method?,The suggested minimum specimen size is 50mm×125mm.
3. What is the significance of the average electrical current measurement in the surface insulation resistivity test method?,"It indicates the effectiveness of the surface insulation, with current ranging from zero for a perfect insulator to 1.00 A for a perfect conductor."
4. How are electrical contacts made with the base metal in the surface insulation resistivity test method?,"Electrical contact with the base metal is made through two 3mm diameter twist drills or hardened and pointed rods, vertically mounted and spring-loaded in spiral slotted sleeves."
5. What is the purpose of the immersion method in determining the density of the magnetic sheet?,"The immersion method is a fundamental way to determine density and is used for establishing densities for commercial iron base flat rolled products, particularly in arbitration cases."
6. What factors influence the accuracy of determining the magnetizing force 𝐻H in the Epstein frame test method?,"The accuracy of determining 𝐻H depends on the accuracy of current measurement, maintaining identical current after reversal, accuracy in determining magnetic path length, and uncertainties due to corner joints in the Epstein frame."
7. How is the accuracy of determining flux density 𝐵B affected in the Epstein frame test method?,"The accuracy of determining 𝐵B depends on the quality of integrator calibration, uniformity of material, and accuracy in determining the cross-sectional area of the test specimen."
8. What is the expected error range for material permeability determinations in the Epstein test-frame method?,The material permeability determinations should be within ±3 percent in the Epstein test-frame method.
9. What apparatus is used in the determination of the resistivity of magnetic sheet and strip?,A Kelvin type resistance bridge or a d.c. potentiometer and d-c ammeter are used for the determination of the resistivity of magnetic sheet and strip.
10. How is the resistivity of the material calculated in the determination of the resistivity of magnetic sheet and strip method?,"The resistivity 𝜌ρ is calculated using the formula 𝜌=𝑅𝐴𝑙2ρ=l2RA​, where 𝑅R is the resistance, 𝐴A is the cross-sectional area, and 𝑙l is the length of the electrical path."
1. What is the method recommended for determining the density of magnetic sheet in industrial tests?,Electrical Method
2. What is the minimum recommended width for the metal plates used in the compression device for stacking factor testing?,50mm
3. What is the formula for calculating the percentage stacking factor?,𝑆=𝑚/𝑤𝑙𝑡×100
4. What is the purpose of the apparatus used in the determination of ductility for non-oriented electrical steel sheets?,To repeatedly bend the test strip over a predetermined radius until a crack appears or sudden failure occurs.
5. How is the number of bends withstood by the test specimen determined in the ductility test?,"Each full 180° bend, including the first 90° bend, is counted as one bend."
"6. What is the purpose of the thinner’s brake, hand folder, or apron brake in the ductility test for grain-oriented electrical steel sheets?",To bend the test specimen through an angle of about 160 degrees.
7. How is the class rating determined in the ductility test for grain-oriented electrical steel sheets?,"Based on the number of breaks along the bend, with larger numerical class ratings corresponding to a larger number of breaks and poorer ductility."
8. What does the variation 'c' from the shearing line measure?,"It measures the greatest distance between the related edges of a sheet cut longitudinally, serving as a measure of internal stresses."
9. How is the percentage wave factor (Waviness W) calculated?,"𝑊=100ℎ𝑙W=l100h​, where 'h' is the height of the wave and 'l' is the length of the wave."
10. What test method is used to check the resistance of insulation coating to transformer oil?,"The samples are immersed in transformer oil, heated to 100 – 120°C for eight hours, and then weighed before and after immersion."
